Institute,NIRF Rank,,,,,
Maharaja Agrasen Institute of Technology,201-300,,,,,
Maharaja Sayajirao University of Baroda,201-300,,,,,
Maharaja Surajmal Institute of Technology,201-300,,,,,
"Maharshi Dayanand University, Rohtak",201-300,,,,,
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,201-300,,,,,
Malla Reddy Engineering College,201-300,,,,,
Manav Rachna University,201-300,,,,,
MLR Institute of Technology,201-300,,,,,
Narasaraopeta Engineering College,201-300,,,,,
Narula Institute of Technology,201-300,,,,,
"P E S College of Engineering, Mandya",201-300,,,,,
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",201-300,,,,,
Panimalar Engineering College,201-300,,,,,
Pondicherry Engineering College,201-300,,,,,
Prasad V Potluri Siddhartha Institue of Technology,201-300,,,,,
Prince Shri Venkateshwara Padmavathy Engineering College,201-300,,,,,
"PSNA College of Engineering and Technology, Dindigul",201-300,,,,,
QIS College of Engineering & Technology,201-300,,,,,
R. M. K. College of Engineering and Technology,201-300,,,,,
R.M.D Engineering College,201-300,,,,,
R.V. R. & J. C. College of Engineering,201-300,,,,,
Rabindranath Tagore University,201-300,,,,,
Rajeev Gandhi Memorial College of Engineering & Technology,201-300,,,,,
Rathinam Technical Campus,201-300,,,,,
Reva University,201-300,,,,,
Saveetha Engineering College,201-300,,,,,
Shri G. S. Institute of Technology & Science,201-300,,,,,
Shri Ramdeobaba College of Engineering and Management,201-300,,,,,
Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,201-300,,,,,
Sikkim Manipal Institute of Technology (SMIT),201-300,,,,,
"Silicon Institute of Technology (SIT), Bhubaneswar",201-300,,,,,
SNS College of Technology,201-300,,,,,
Sree Vidyanikethan Engineering College,201-300,,,,,
Sreenidi Institute of Science &Technology,201-300,,,,,
Sri Eshwar College of Engineering,201-300,,,,,
Sri Manakula Vinayagar Engineering College,201-300,,,,,
Sri Sai Ram Institute of Technology,201-300,,,,,
Sri Venkateswara College of Engineering and Technology,201-300,,,,,
"Sri Venkateswara College of Engineering, Tirupati",201-300,,,,,
Sri Venkateswara University,201-300,,,,,
St. Josephs College of Engineering,201-300,,,,,
"The LNM Institute of Information Technology, Jaipur",201-300,,,,,
University Institute of Chemical Technology,201-300,,,,,
University of Allahabad,201-300,,,,,
Vasavi College of Engineering,201-300,,,,,
Vidya Jyothi Institute of Technology,201-300,,,,,
Vignan`s Institute of Information Technology,201-300,,,,,
