name,district,type
"Adhiyamaan College of Engineering , Aeri Campus, Dr.M.G.R.Nagar, …",KRISHNAGIRI,Self-Financing T3
"Annai Mathammal Sheela Engineering College, Erumapatty Post, Nama…",NAMAKKAL,Self-Financing T3
Government College of Engineering Bargur Krishnagiri District 635…,KRISHNAGIRI,Government
"K S Rangasamy College of Technology , K.S.R Kalvi Nagar, Thokkava…",NAMAKKAL,Self-Financing T3
"M.Kumarasamy College of Engineering , Thalavapalayam Post,Punjai …",KARUR,Self-Financing T3
"Mahendra Engineering College , Mahendhirapuri, Mallasamudram West…",NAMAKKAL,Self-Financing T1
"Muthayammal Engineering College , Kakkaveri, Rasipuram (Tk), Nama…",NAMAKKAL,Self-Financing T3
"Paavai Engineering College , NH-7, Paavai Nagar, Pachal, Namakkal…",NAMAKKAL,Self-Financing T2
"PGP College of Engineering and Technology, Namakkal-Paramathi NH …",NAMAKKAL,Self-Financing T3
"K S R College of Engineering , K S R Kalvi Nagar, Thokkavadi, Tir…",NAMAKKAL,Self-Financing T3
"SSM College of Engineering, NH-47 Salem Main Road, Komarapalayam,…",NAMAKKAL,Self-Financing T3
Government College of Engineering Karuppur Salem District 636011,SALEM,Government
"Sapthagiri College of Engineering, NH-7, Krishnagiri Main Road,Pa…",DHARMAPURI,Self-Financing T3
"Sengunthar Engineering College , Kosavampalayam, Kumaramangalam (…",NAMAKKAL,Self-Financing T3
"Sona College of Technology , Sona Nagar, Thiagarajar Polytechnic …",SALEM,Self-Financing T1
"Vivekanandha College of Engineering for Women , Sathiyanaickenpal…",NAMAKKAL,Self-Financing T2
"Er. Perumal Manimekalai College of Engineering , 17th Km Hosur - …",KRISHNAGIRI,Self-Financing T3
"V S B Engineering College , N.H.67, Covai Road, Karudayampalayam …",KARUR,Self-Financing T3
"Mahendra College of Engineering, 12th KM Attur Main Road, Minnamp…",SALEM,Self-Financing T1
"Gnanamani College of Technology , NH-7, A.K. Samuthiram, Pachal P…",NAMAKKAL,Self-Financing T2
"The Kavery Engineering College , M. Kalipatti, Mecheri (Post), Me…",SALEM,Self-Financing T3
"Selvam College of Technology , Salem Road NH-7, Pappinaickenpatti…",NAMAKKAL,Self-Financing T3
"Paavai College of Engineering, Paavai Nagar, NH-7,Pachal, Namakka…",NAMAKKAL,Self-Financing T3
"Chettinad College of Engineering and Technology, NH-67, Karur to …",KARUR,Self-Financing T3
"Mahendra Institute of Technology , Mahendhirapuri, Mallasamudram …",NAMAKKAL,Self-Financing T2
"Vidyaa Vikas College of Engineering and Technology, Varahoorampat…",NAMAKKAL,Self-Financing T3
"Excel Engineering College , NH-47 Salem Main Road, Sankari West P…",NAMAKKAL,Self-Financing T3
"CMS College of Engineering, CMS Nagar, Eranapuram Post, Namakkal-…",NAMAKKAL,Self-Financing T3
"AVS Engineering College, Military Road, Ammapet, Salem-636003.",SALEM,Self-Financing T3
"Mahendra Engineering College for Women, Komaramanagalam Post,Tiru…",NAMAKKAL,Self-Financing T1
"R P Sarathy Institute of Technology , Poosaripatty(PO), Omalur Ta…",SALEM,Self-Financing T3
"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District…",DHARMAPURI,Self-Financing T3
"Varuvan Vadivelan Institute of Technology, NH 7, Krishnagiri Main…",DHARMAPURI,Self-Financing T3
"P.S.V.College of Engineering and Technology, Mittapalli, Balinaya…",KRISHNAGIRI,Self-Financing T3
"Bharathiyar Institute of Engineering for Women, 43/3, Deviyakuric…",SALEM,Self-Financing T3
"Tagore Institute of Engineering and Technology, Salem-Chennai Bye…",SALEM,Self-Financing T3
"J.K.K.Nataraja College of Engineering and Technology, Sf No. 147/…",NAMAKKAL,Self-Financing T3
